"ID","Title","Severity","Confidence","Asset","Attack Path","Evidence Reference","Impact","CWE","OWASP ASVS 5.0.0","OWASP API Top 10 2023","NIST CSF 2.0","CIS Controls 8.1","CIS GCP Foundation 5.0.0","Qatar NIA 2.0 / Law 13 of 2016","Remediation","Acceptance Test","Owner","Effort","Target Window","Status"
"CYB-001","Super Administrator bypasses recent step-up authentication","High","High","Authentication; privileged administration","Steal or reuse the active local Super Administrator password/session; invoke a sensitive endpoint; the shared helper exempts Super Admin from recent step-up.","E-006; E-011; E-012","A single password/session compromise can become tenant-wide identity, payroll, document, or audit compromise without a second factor at the critical action.","CWE-306; CWE-613","V6.3.3; V7.2.4; V7.4.1; V7.5.1","API2; API5","PR.AA; DE.CM","5; 6; 8","IAM","NIA Access Control; Law Arts. 8 and 13","Remove the Super Admin bypass; require fresh phishing-resistant Entra authentication or a separately controlled, vaulted, alerted, time-bounded break-glass process; revoke legacy sessions after rollout.","Sensitive endpoints reject stale/non-step-up Super Admin sessions; break-glass use emits a high-severity alert and immutable review record.","Identity Engineering / Application Security","Medium","Contain immediately; permanent fix within 30 days","Open"
"CYB-002","API connects to PostgreSQL as the postgres superuser","High","High","PostgreSQL; API runtime","Exploit any API code-execution or database-access flaw; inherit database superuser authority; read or alter all HR data, roles, constraints, triggers, and audit state.","E-006","Application compromise becomes complete database compromise and materially weakens recovery and forensics.","CWE-250","V13.2.2; V13.3.1; V13.3.2","API8","PR.AA; PR.DS","5; 6; 12; 16","IAM; Compute; Database","NIA Access Control and Operations; Law Arts. 8 and 13","Use the existing hr_erp_app role at runtime and a separate time-bounded migrator identity; grant only required schema, table, sequence, and function privileges.","Runtime current_user is non-superuser; API negative tests cannot create roles, disable triggers, or access unneeded schemas; migrations require the migrator.","Platform Engineering / DBA","Medium","Within 30 days","Open"
"CYB-003","Plaintext backups and HR PDFs exist in operator and deployment directories","High","High","Database backups; generated payslips, profiles, settlements; operator OneDrive; VM filesystem","Compromise a synced workstation identity, stale host account, Docker-group principal, or local process; read 0644 backup files or read/modify generated PDFs, some mode 0666, outside application authorization and audit.","E-007; E-019","Bulk identity, payroll, banking, and document disclosure; document tamper; uncontrolled retention; breach-notification exposure.","CWE-200; CWE-732","V14.1.2; V13.3.2","API3; API8","ID.AM; PR.DS; RC.RP","3; 6; 11","Storage; Compute","NIA Asset/Data/BCM; Law Arts. 8, 10, 13 and 14","Inventory before deletion; securely remove unapproved copies after retention/legal approval; quarantine required copies in encrypted access-logged storage; enforce least-privileged ownership/modes; prevent generated documents in source roots.","Approved DLP/file inventory finds no raw SQL or employee PDF outside governed stores; deployment artifacts are non-sensitive; mode/ownership checks pass.","Data Protection Officer / Platform Engineering","Large","Contain immediately; permanent fix within 30 days","Open"
"CYB-004","Security monitoring is incomplete and health metrics are stale or incorrect","High","High","Cloud Monitoring; Cloud Logging; Ops Agent; incident detection","An attack or control failure occurs while health signals are false/stale or the relevant privilege, audit, secret, malware, container, or exfiltration use case has no detection; responders miss or discount it.","E-010","Longer attacker dwell time, late breach discovery, weak reconstruction, and unreliable operational assurance.","CWE-778","V16.1.1; V16.3.2; V16.3.3","API8; API10","DE.CM; DE.AE; RS.MA","8; 13; 17","Logging and Monitoring","NIA Incident Management; Law Arts. 11 and 14","Repair virtual-host-aware health probes; retire obsolete tunnel metrics; restore Microsoft-expiry telemetry; alert on freshness; implement and own missing security detections and runbooks.","Synthetic signals trigger the intended alert/channel within SLA; stale metrics alert; dashboards show current health; quarterly detection tests are recorded.","Security Operations / SRE","Large","Repair false health immediately; complete within 30 days","Open"
"CYB-005","Microsoft onboarding enables login before Entra object binding","High","High","Employee onboarding; email changes; Entra provisioning; Microsoft login","Create a corporate employee or change an existing employee to @med-tech.com; the application attempts microsoftLoginEnabled before an object ID is bound; the database rejects the invalid state and returns 500; retry/manual workarounds can orphan identities.","E-009; E-015","Denied Microsoft login, inconsistent lifecycle/revocation, orphaned Entra/local identities, and future misbinding risk if the constraint is weakened.","CWE-287; CWE-840","V6.3.3; V7.4.1; V7.5.1; V13.3.2","API2; API5; API6","GV.RM; PR.AA","5; 6; 16","IAM","NIA Access Control and Acquisition; Law Arts. 8 and 13","For both new onboarding and corporate-email transition: provision or resolve Entra first, bind exact tenant/object ID, then enable Microsoft login; use one idempotent shared flow with compensation/rollback; retain the database constraint.","Tests cover both required flows, Graph failure, duplicate UPN/mail, retry, rollback, and wrong-object prevention; success can sign in; failure remains disabled with a controlled non-500 response.","Identity Engineering / Backend Engineering","Large","Within 30 days","Open"
"CYB-006","Production origin is directly exposed without the expected Cloudflare or WAF layer","Medium","High","DNS; public IP; Nginx; edge protection","Resolve and target the VM origin directly; bypass expected managed WAF, bot, or DDoS controls; attack the single host and application.","E-001; E-003; E-014","Greater automated-abuse and origin attack surface, with availability dependent on a single VM/application stack.","CWE-16","V15.3.4; V13.4.7","API4; API8; API9","PR.PS; PR.IR","4; 12; 13","Networking; Compute","NIA Communications and Operations; Law Art. 13","Restore an approved Cloudflare/private-origin design or approve and harden the direct design with managed load balancing/WAF, origin restriction, rate controls, and monitored DDoS posture.","Origin is unreachable except through the approved edge, or compensating direct-origin controls and runbooks pass an external verification.","Cloud / Network Engineering","Large","Within 90 days","Open"
"CYB-007","Upload validation accepts content that does not match declared MIME type","Medium","High","Document upload; ClamAV; GCS","Upload non-PNG bytes with an allowed PNG declaration; pass extension/declared-MIME allowlist and malware scan; later consumer handles the content differently.","E-012; E-016","Stored-content confusion, downstream parser exposure, unsafe sharing, and weakened document trust; nosniff and safe download behavior reduce immediate browser impact.","CWE-434","V5.1.1; V5.2.1; V5.2.2; V5.2.4; V5.3.2; V5.4.2; V5.4.3","API3; API4; API8","PR.DS; PR.PS","3; 10; 16","Storage","NIA Operations and Application Security; Law Arts. 8 and 13","Detect file type from magic bytes/content; compare with declared MIME and extension; reject mismatches while preserving malware scan, quarantine, and safe headers.","Mismatch, polyglot, truncated, renamed, EICAR, and oversized fixtures are rejected or quarantined; valid formats still work.","Backend Engineering / Product Security","Medium","Within 90 days","Open"
"CYB-008","Container hardening, resource controls, and image provenance are incomplete","Medium","High","Docker Compose; web, API, ClamAV, PostgreSQL images","Compromise a container; use writable filesystem, excessive identity/capabilities, absent resource limits, or mutable images to persist, exhaust the host, or expand blast radius.","E-005; E-013","Availability loss and larger cross-service/host impact on the single production VM.","CWE-250; CWE-400","V13.2.2; V13.4.2","API4; API8","PR.PS; PR.IR","4; 7; 12; 16","Compute; Container hardening","NIA Operations and Communications; Law Art. 13","Run non-root where supported; drop capabilities; add no-new-privileges, read-only roots/tmpfs, CPU/memory/PID limits, approved digest pinning, SBOM/provenance, and vulnerability gates.","Compose regression verifies controls; bounded load cannot starve PostgreSQL/host; deployment admits only approved digests.","Platform Engineering / SRE","Large","Within 90 days","Open"
"CYB-009","Release and security-baseline prefixes fall outside governed backup lifecycle","Medium","High","GCS backup bucket; releases; security baselines","Long-lived duplicate database, document, certificate, source, or screenshot artifacts accumulate outside hourly/daily/weekly/monthly lifecycle rules; a later bucket compromise exposes a larger historical set.","E-007","Larger breach scope and difficult retention, deletion, and data-subject obligation handling.","CWE-200","V14.1.2; V13.3.2","API3; API8","ID.AM; PR.DS; RC.RP","3; 11","Storage","NIA Asset Management, Data Protection and BCM; Law Arts. 8, 10 and 13","Classify every prefix; prohibit PII, secrets, and screenshots in release artifacts; apply owned lifecycle/retention and test deletion/legal-hold behavior.","Every prefix has an owner, classification, maximum retention, lifecycle rule, and sampled content validation.","Data Protection / Cloud Engineering","Medium","Within 90 days","Open"
"CYB-010","Secret rotation and expiry governance is incomplete","Medium","High","Secret Manager; JWT; database; audit HMAC; recovery bootstrap; Microsoft credential","A long-lived secret leaks through a process, host, backup, or operator path and remains usable because age, overlap, rotation, and revocation are not consistently governed.","E-008; E-010","Prolonged unauthorized access and difficult containment; unsafe audit-HMAC rotation could also impair verification.","CWE-522","V13.3.1; V13.3.2","API2; API8","PR.AA; PR.DS; DE.CM","3; 5; 6","IAM; Secret Manager","NIA Cryptography and Access Control; Law Arts. 8 and 13","Define owner, maximum age, overlap, revocation, rollback, and monitoring per secret; automate where safe; preserve audit verification across HMAC rotation.","Inventory shows owner/purpose/last-next rotation; age and anomalous access alert; dual-version rollout and rollback tests pass.","Platform Engineering / Identity Engineering","Medium","Within 90 days","Open"
